Reservation No.,Year of reservation made,Month of reservation made,Date of reservation made,Hour of reservation made,Minutes of reservation made,Year of planned departure,Month of planned departure,Date of planned departure,Hour of planned departure,Minutes of planned departure,Year of planned arrival,Month of planned arrival,Date of planned arrival,Hour of planned arrival,Minutes of planned arrival,Year of checked in ,Month of checked in ,Date of checked in ,Hour of checked in ,Minutes of checked in ,Year of checked out,Month of checked out,Date of checked out,Hour of checked out,Minutes of checked out,Station ID of checked in,Station name,Station ID of checked out,Station name,Vehicle type,Vehicle registraiton No.,Vehicle No.,Time of use,Energy used,Age of driver,ID Card No,Sex,Occupation
MNR-04961,2017,1,10,10,55,2017,1,10,11,0,2017,1,10,15,25,2017,1,10,10,58,2017,1,10,12,34,STN-00250,______,STN-00258,_____,P-COM,___0_423,423,1:35:23,585.5455, , ,,Stuff
MNR-04960,2017,1,10,10,29,2017,1,10,10,35,2017,1,13,13,35,2017,1,10,10,38,2017,1,10,12,28,STN-00204,___________,STN-00204,___________,P-COM,___0_413,413,1:50:02,197.8793, , ,,Stuff
MNR-04959,2017,1,10,10,27,2017,1,10,10,30,2017,1,10,14,55,2017,1,10,10,35,2017,1,10,10,57,STN-00204,___________,STN-00250,______,P-COM,___0_419,419_1,0:22:22,302.4445, , ,,Stuff
MNR-04958,2017,1,10,10,26,2017,1,10,10,30,2017,1,10,14,55,2017,1,10,10,29,2017,1,10,10,33,STN-00202,________,STN-00204,___________,P-COM,___0_426,426,0:03:29,34.2284, , ,,Stuff
MNR-04957,2017,1,9,20,23,2017,1,9,20,25,2017,1,10,0,50,2017,1,9,20,33,2017,1,9,20,47,STN-00196,____ ________,STN-00248,_______,P-COM,___0_424,424,0:14:00,391.3973, , ,,Stuff
MNR-04956,2017,1,9,19,30,2017,1,9,19,35,2017,1,10,0,0,2017,1,9,19,44,2017,1,9,19,49,STN-00240,____K_____,STN-00204,___________,P-COM,___0_419,419_1,0:04:42,123.9283, , ,,Stuff
MNR-04955,2017,1,9,15,59,2017,1,9,16,10,2017,1,9,20,35,2017,1,9,16,29,2017,1,9,16,41,STN-00257,_____,STN-00202,________,P-COM,___0_426,426,0:11:18,297.8326, , ,,Stuff
MNR-04954,2017,1,9,15,58,2017,1,9,16,0,2017,1,9,20,25,2017,1,9,16,13,2017,1,9,16,20,STN-00257,_____,STN-00248,_______,P-COM,___0_415,415,0:06:57,206.6781, , ,,Stuff
MNR-04953,2017,1,9,12,59,2017,1,9,13,5,2017,1,9,17,30,2017,1,9,13,1,2017,1,9,13,3,STN-00256,______,STN-00237,_______________,P-COM,___0_420,420_1,0:01:48,38.288, , ,,Stuff
MNR-04952,2017,1,9,12,25,2017,1,9,12,30,2017,1,9,16,55,2017,1,9,12,57,2017,1,9,13,1,STN-00250,______,STN-00256,______,P-COM,___0_405,405,0:03:51,92.1974, , ,,Stuff
