tripduration;Starttime;Stoptime;start station id;start station name;start station latitude;start station longitude;end station id;end station name;end station latitude;end station longitude;bikeid
3546;01/09/2019 00:44;01/09/2019 01:43;42;Boylston St at Arlington St;42,3520548;-71,0704869;42;Boylston St at Arlington St;42,352055;-71,070487;5447
2361;01/09/2019 00:46;01/09/2019 01:25;72;One Broadway / Kendall Sq at Main St / 3rd St;42,3622418;-71,0831107;78;Union Square - Somerville;42,379658;-71,093943;5361
200;01/09/2019 00:46;01/09/2019 00:50;27;Roxbury Crossing T Stop - Columbus Ave at Tremont St;42,331184;-71,095171;12;Ruggles T Stop - Columbus Ave at Melnea Cass Blvd;42,336244;-71,087986;3082
1178;01/09/2019 00:47;01/09/2019 01:07;52;Newbury St at Hereford St;42,348717;-71,085954;105;Lower Cambridgeport at Magazine St / Riverside Rd;42,357219;-71,113872;5469
1447;01/09/2019 00:47;01/09/2019 01:12;84;CambridgeSide Galleria - CambridgeSide PL at Land Blvd;42,366981;-71,076472;74;Harvard Square at Mass Ave/ Dunster;42,373268;-71,118579;3365
359;01/09/2019 00:48;01/09/2019 00:54;404;Mass Ave T Station;42,3413562;-71,0833695;27;Roxbury Crossing T Stop - Columbus Ave at Tremont St;42,331184;-71,095171;2807
4067;01/09/2019 00:48;01/09/2019 01:56;68;Central Square at Mass Ave / Essex St;42,36507;-71,1031;20;Aquarium T Stop - 200 Atlantic Ave;42,359912;-71,05143;3682
4020;01/09/2019 00:49;01/09/2019 01:56;68;Central Square at Mass Ave / Essex St;42,36507;-71,1031;20;Aquarium T Stop - 200 Atlantic Ave;42,359912;-71,05143;4786
2040;01/09/2019 00:51;01/09/2019 01:25;404;Mass Ave T Station;42,3413562;-71,0833695;404;Mass Ave T Station;42,341356;-71,08337;2228
1358;01/09/2019 00:51;01/09/2019 01:14;68;Central Square at Mass Ave / Essex St;42,36507;-71,1031;90;Lechmere Station at Cambridge St / First St;42,370677;-71,076529;2742
3857;01/09/2019 00:51;01/09/2019 01:56;68;Central Square at Mass Ave / Essex St;42,36507;-71,1031;20;Aquarium T Stop - 200 Atlantic Ave;42,359912;-71,05143;4036
3952;01/09/2019 00:52;01/09/2019 01:58;68;Central Square at Mass Ave / Essex St;42,36507;-71,1031;20;Aquarium T Stop - 200 Atlantic Ave;42,359912;-71,05143;5036
321;01/09/2019 00:52;01/09/2019 00:57;100;Davis Square;42,396969;-71,123024;239;Community Path at Cedar Street;42,394072;-71,111337;4372
2189;01/09/2019 00:52;01/09/2019 01:29;138;Newmarket Square T Stop - Massachusetts Ave at Newmarket Square;42,326599;-71,066498;92;University of Massachusetts Boston - Campus Center;42,312189;-71,036486;3051
306;01/09/2019 00:52;01/09/2019 00:57;100;Davis Square;42,396969;-71,123024;239;Community Path at Cedar Street;42,394072;-71,111337;4434
1313;01/09/2019 00:52;01/09/2019 01:14;68;Central Square at Mass Ave / Essex St;42,36507;-71,1031;90;Lechmere Station at Cambridge St / First St;42,370677;-71,076529;5328
2206;01/09/2019 00:52;01/09/2019 01:29;138;Newmarket Square T Stop - Massachusetts Ave at Newmarket Square;42,326599;-71,066498;92;University of Massachusetts Boston - Campus Center;42,312189;-71,036486;3892
1347;01/09/2019 00:53;01/09/2019 01:15;72;One Broadway / Kendall Sq at Main St / 3rd St;42,3622418;-71,0831107;129;Hayes Square - Vine St at Moulton St;42,377022;-71,056605;4934
325;01/09/2019 00:53;01/09/2019 00:59;47;Cross St at Hanover St;42,362811;-71,056067;151;Surface Rd at India St;42,358155;-71,052163;3129
304;01/09/2019 00:54;01/09/2019 00:59;47;Cross St at Hanover St;42,362811;-71,056067;151;Surface Rd at India St;42,358155;-71,052163;4392
316;01/09/2019 00:54;01/09/2019 00:59;47;Cross St at Hanover St;42,362811;-71,056067;151;Surface Rd at India St;42,358155;-71,052163;2045
340;01/09/2019 00:54;01/09/2019 01:00;47;Cross St at Hanover St;42,362811;-71,056067;151;Surface Rd at India St;42,358155;-71,052163;3297
711;01/09/2019 00:55;01/09/2019 01:07;16;Back Bay T Stop - Dartmouth St at Stuart St;42,3480741;-71,0765702;177;University Park;42,362648;-71,100061;2766
696;01/09/2019 00:56;01/09/2019 01:08;75;Lafayette Square at Mass Ave / Main St / Columbia St;42,3634647;-71,1005732;55;Boylston St at Massachusetts Ave;42,347265;-71,088088;5467
